tellin',220
weed,,220
government,219
glad,219
the,,219
tour,219
piss,219
jay,219
dying,218
holy,218
bills,218
chop,218
america,218
door,,218
showed,218
secret,218
luck,218
(get,218
joke,218
quarter,218
tall,217
square,216
out),216
nigga?,216
crown,216
smoked,215
match,215
dare,215
crooked,215
tricks,215
fam,214
kicked,214
throwing,214
rolled,214
fly,,214
goddamn,214
a,,213
neighborhood,213
steps,213
reality,212
cali,212
listening,212
mask,212
people,,212
dip,211
puttin,211
nowhere,211
protect,211
...,211
bend,211
paper,,211
twisted,210
pot,210
knowing,210
lit,209
stopped,209
foul,209
situation,209
bustin,208
ay,,208
moon,208
fish,208
pussy,,208
sexy,208
c'mon,,208
whenever,207
jet,207
god's,207
somewhere,207
college,207
lotta,207
word,,206
(oh,206
pair,206
screaming,206
lean,205
muthafucka,205
(what?),205
wu,205
gun,,205
knife,205
bow,205
sad,204
loving,204
yeah),204
given,204
country,204
pimpin,204
spin,204
cool,,203
fact,,203
hardcore,203
woke,202
holes,202
path,202
groove,202
wood,201
death,,201
12,201
shed,201
rappin,201
average,201
up?,201
crazy,,201
proud,201
heart,,200
okay,,200
wrong,,200
with,,200
original,200
fair,200
press,200
passion,200
proof,199
shit!,199
president,199
hand,,199
killin',199
weezy,199
lonely,198
war,,198
louis,198
beach,198
tree,198
but,,198
mayne,197
line,,197
clips,197
holdin',197
release,197
quite,197
strike,197
sharp,197
large,197
wise,197
isn't,197
wheels,196
we've,196
givin',196
facts,196
faith,196
bay,195
dr.,195
crush,195
rent,195
youth,195
butter,195
right?,195
sleep,,195
shook,195
industry,195
toes,195
yard,195
(uhh),195
twelve,195
thanks,195
tone,195
nina,195
crash,194
starts,194
answer,194
pour,194
mall,194
sin,194
right),194
famous,194
ah,,194
boat,193
blowin,193
(verse,193
american,193
stepped,193
poppin',193
fan,192
nut,192
mixed,192
missing,192
pride,192
rebel,192
busta,192
long,,192
dear,192
shit's,192
return,192
burning,191
army,191
she'll,191
loot,191
mic,,191
disrespect,191
criminal,191
hitting,191
flight,191
(yeah,,191
ugly,191
bubble,191
homeboy,190
noise,190
breaking,190
flying,190
shoulder,190
trippin,189
skills,189
nas,189
fast,,189
